sku,name,generic_name,brand_name,category_code,strength,base_unit_abbreviation,purchase_unit_abbreviation,dispensing_unit_abbreviation,selling_price,reorder_level,status,manage_stock
EPI-SYP,"EPIVAL SYP",,,SYP,,SYP,SYP,SYP,233,5,active,1
KLA-SYP,"KLARICID SYP",,,SYP,,SYP,SYP,SYP,246,5,active,1
ENT-SYP,"ENTAMIZOLE SYP",,,SYP,,SYP,SYP,SYP,150,5,active,1
ZET-SYP,"ZETRO SYP",,,SYP,,SYP,SYP,SYP,270,5,active,1
ZYT-SYP,"ZYTO SYP",,,SYP,,SYP,SYP,SYP,298.31999999999999,5,active,1
ART-SYP,"ARTEM SYP",,,SYP,,SYP,SYP,SYP,163.77000000000001,5,active,1
ART-SYP-001,"ARTEM DS SYP",,,SYP,,SYP,SYP,SYP,326.76999999999998,5,active,1
PAR-SYP,"PARACETAM SYP",,,SYP,,SYP,SYP,SYP,425,5,active,1
TRI-SYP,"TRIMETABOL SYP",,,SYP,,SYP,SYP,SYP,235,5,active,1
NOV-125MG-SYP,"NOVIDATE 125MG SYP",,,SYP,125MG,SYP,SYP,SYP,192,5,active,1
NOV-250MG-SYP,"NOVIDATE 250MG SYP",,,SYP,250MG,SYP,SYP,SYP,285.35000000000002,5,active,1
SED-SYP,"SEDIL SYP",,,SYP,,SYP,SYP,SYP,186.68000000000001,5,active,1
SED-SYP-001,"SEDIL DS SYP",,,SYP,,SYP,SYP,SYP,114.099999999999994,5,active,1
TER-SYP,"TERCICA SYP",,,SYP,,SYP,SYP,SYP,180,5,active,1
ANT-SYP,"ANTIAL SYP",,,SYP,,SYP,SYP,SYP,75.68000000000001,5,active,1
FLA-SYP,"FLAGYL SYP",,,SYP,,SYP,SYP,SYP,130.63,5,active,1
FLA-SYP-001,"FLAGYL PLUS SYP",,,SYP,,SYP,SYP,SYP,113.030000000000001,5,active,1
LAC-SYP,"LACASIL SYP",,,SYP,,SYP,SYP,SYP,345,5,active,1
DHU-SYP,"DHUPHALAC SYP",,,SYP,,SYP,SYP,SYP,286,5,active,1
BRU-SYP,"BRUFEN SYP",,,SYP,,SYP,SYP,SYP,129.12,5,active,1
BRU-SYP-001,"BRUFEN DS SYP",,,SYP,,SYP,SYP,SYP,114.40000000000001,5,active,1
AMO-SYP,"AMOXIL SYP",,,SYP,,SYP,SYP,SYP,118,5,active,1
AMO-SYP-001,"AMOXIL FORT SYP",,,SYP,,SYP,SYP,SYP,175,5,active,1
AUG-457MG-SYP,"AUGMENTIN 457MG SYP",,,SYP,457MG,SYP,SYP,SYP,213,5,active,1
AUG-312MG-SYP,"AUGMENTIN 312MG SYP",,,SYP,312MG,SYP,SYP,SYP,0,5,inactive,1
AUG-156MG-SYP,"AUGMENTIN 156MG SYP",,,SYP,156MG,SYP,SYP,SYP,0,5,inactive,1
VER-SYP,"VERMOL SYP",,,SYP,,SYP,SYP,SYP,60.89,5,active,1
MUC-SYP-001,"MUCONYL SYP",,,SYP,,SYP,SYP,SYP,80,5,active,1
FOS-SYP,"FOSIN SYP",,,SYP,,SYP,SYP,SYP,359.14999999999998,5,active,1
FOS-SYP-001,"FOSIN DS SYP",,,SYP,,SYP,SYP,SYP,359.14999999999998,5,active,1
BIS-SYP-001,"BISMEF SYP",,,SYP,,SYP,SYP,SYP,275,5,active,1
AMC-SYP,"AMCLAVE SYP",,,SYP,,SYP,SYP,SYP,124,5,active,1
AMC-SYP-001,"AMCLAVE DS SYP",,,SYP,,SYP,SYP,SYP,253,5,active,1
CLA-SYP,"CLARITAK SYP",,,SYP,,SYP,SYP,SYP,425,5,active,1
CEP-SYP,"CEPSTA DS SYP",,,SYP,,SYP,SYP,SYP,285.32999999999998,5,active,1
RIG-SYP,"RIGIX SYP",,,SYP,,SYP,SYP,SYP,164,5,active,1
CEC-SYP,"CECLOR SYP",,,SYP,,SYP,SYP,SYP,400,5,active,1
CEC-SYP-001,"CECLOR DS SYP",,,SYP,,SYP,SYP,SYP,625,5,active,1
INT-SYP,"INTIG D SYP",,,SYP,,SYP,SYP,SYP,225,5,active,1
ARI-SYP,"ARINAC SYP",,,SYP,,SYP,SYP,SYP,180,5,active,1
RIT-SYP,"RITHMO 125 SYP",,,SYP,,SYP,SYP,SYP,1,5,active,1
RIT-SYP-001,"RITHMO 250 SYP",,,SYP,,SYP,SYP,SYP,750,5,active,1
AZO-SYP,"AZOMAX 200 SYP",,,SYP,,SYP,SYP,SYP,410,5,active,1
MIC-SYP,"MICROBAC SYP",,,SYP,,SYP,SYP,SYP,284.19999999999999,5,active,1
OSN-SYP,"OSNATE SYP",,,SYP,,SYP,SYP,SYP,201.63,5,active,1
DIG-SYP,"DIGAS SYP",,,SYP,,SYP,SYP,SYP,170,5,active,1
CEP-SYP-001,"CEPSTA SYP",,,SYP,,SYP,SYP,SYP,160.5,5,active,1
CEF-SYP,"CEFIGET SYP",,,SYP,,SYP,SYP,SYP,325,5,active,1
VID-SYP,"VIDALIN L SYP",,,SYP,,SYP,SYP,SYP,227.83000000000001,5,active,1
BLU-SYP,"BLUDOL SYP",,,SYP,,SYP,SYP,SYP,100,5,active,1
BLU-SYP-001,"BLUDOL DS SYP",,,SYP,,SYP,SYP,SYP,95.59999999999999,5,active,1
CAL-SYP,"CALPOL SYP",,,SYP,,SYP,SYP,SYP,106.95999999999999,5,active,1
